# _UID_     _GIVEN_NAME_    _SN_            _UID_NUMBER_      _GID_NUMBER_  
paterson;   Joel;           Paterson;       2000;             3000
paterson1;  Sandrine;       Paterson;       2001;             3000  
cuevas;     Candice;        Cuevas;         2002;             3000  
kramer;     Ameera;         Kramer;         2003;             3000
cervantes;  Camilla;        Cervantes;      2004;             3000
terrell;    Sarah;          Terrell;        2005;             3000
rollins;    Leighton;       Rollins;        2006;             3000
allison;    Charlotte;      Allison;        2007;             3000
deman;      Arnaud;         Deman;          2008;             3000
gribonvald; Julien;         Gribonvald;     2009;             3000
